model,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,f1_macro_mean,f1_macro_std,roc_auc_mean,roc_auc_std
Logistic,0.8772058823529412,0.0665674723397428,0.9083383283383284,0.06128322246286954,0.8333333333333333,0.08755950357709132,0.8506839826839826,0.08001726917674477,0.901060606060606,0.07809661789318695
XGBoost,0.8286764705882353,0.047969136559706145,0.8177272727272726,0.04864934217470179,0.8136363636363637,0.06134399236640078,0.811415396198005,0.05099957302320585,0.8978787878787878,0.11267838627164649
RandomForest,0.8029411764705883,0.08456202039992686,0.8027705627705627,0.1021193127735447,0.776969696969697,0.09700472852068556,0.77805661005661,0.0929382765947829,0.8813636363636362,0.09789051435524598
GradientBoosting,0.8404411764705882,0.0909389696102371,0.8450233100233101,0.10116367233262573,0.8042424242424243,0.10367622837747575,0.8151082251082251,0.10140949282258827,0.8668181818181818,0.11092564870607326
