scenario,year,linear,poly2,exp
Low,2030,8335097.058823526,8931711.029407501,9204316.402342828
Low,2035,9527680.882352948,10787199.264701843,11530589.339115083
Medium,2030,12502645.588235259,13397566.544116974,13806474.603514574
Medium,2035,14291521.323529363,16180798.89705658,17295884.008673046
High,2030,16670194.117647052,17863422.058815002,18408632.80468569
High,2035,19055361.764705896,21574398.529403687,23061178.67823021
