,MAE,RMSE,R2
RandomForest,97773.48640000002,160211.25444925157,-0.15988500785399729
GradientBoosting,111515.07449442147,165853.98570831044,-0.24302744750781158
XGBoost,100734.81390625,166087.42242140006,-0.24652899067376777
